,-25.14,-22.9,-21.6,-21.6.1,-19,-19.8,-19.8.1,-18.8,-16.5,-18.4,-22.8,-31.5
0,-9.2,1.9,-1.0,0.5,-2.2,-3.4,-3.5,-3.0,-7.0,-6.0,-7.0,-27.4
1,-24.8,-21.9,-22.6,-23.0,-22.6,-23.6,-22.6,-23.8,-22.3,-12.9,-6.2,-25.9
2,-32.8,-34.0,-36.2,-34.8,-35.9,-33.3,-34.3,-33.5,-30.3,-16.7,-6.0,-25.5
3,-41.0,-42.3,-42.8,-42.6,-42.0,-41.2,-41.0,-39.2,-32.2,-16.0,-1.0,-24.1
4,-45.8,-46.4,-46.8,-46.8,-45.5,-43.8,-44.0,-40.0,-32.0,-17.8,-2.0,-23.0
5,-48.0,-49.0,-49.0,-49.0,-48.5,-46.9,-45.3,-41.0,-33.0,-16.5,-3.9,-23.0
6,-49.6,-50.3,-50.5,-50.5,-49.0,-47.0,-46.5,-42.3,-33.6,-18.0,-1.0,-22.6
7,-50.0,-50.9,-51.0,-51.0,-50.0,-48.9,-47.7,-44.0,-34.8,-19.1,0.7,-22.0
8,-50.5,-52.0,-51.5,-51.0,-50.8,-48.8,-48.5,-43.6,-35.2,-18.1,3.0,-21.5
9,-50.0,-52.0,-52.0,-51.0,-51.0,-49.3,-47.7,-44.6,-37.1,-24.0,-25.0,-30.0
10,-52.0,-52.0,-51.5,-51.0,-50.0,-49.0,-48.0,-45.0,-40.3,-38.3,-33.3,-36.0
