-25.14,-22.9,-21.6,-21.6,-19,-19.8,-19.8,-18.8,-16.5,-18.4,-22.8,-31.5
-9.2,1.9,-1,0.5,-2.2,-3.4,-3.5,-3,-7,-6,-7,-27.4
-24.8,-21.9,-22.6,-23,-22.6,-23.6,-22.6,-23.8,-22.3,-12.9,-6.2,-25.9
-32.8,-34,-36.2,-34.8,-35.9,-33.3,-34.3,-33.5,-30.3,-16.7,-6,-25.5
-41,-42.3,-42.8,-42.6,-42,-41.2,-41,-39.2,-32.2,-16,-1,-24.1
-45.8,-46.4,-46.8,-46.8,-45.5,-43.8,-44,-40,-32,-17.8,-2,-23
-48,-49,-49,-49,-48.5,-46.9,-45.3,-41,-33,-16.5,-3.9,-23
-49.6,-50.3,-50.5,-50.5,-49,-47,-46.5,-42.3,-33.6,-18,-1,-22.6
-50,-50.9,-51,-51,-50,-48.9,-47.7,-44,-34.8,-19.1,0.7,-22
-50.5,-52,-51.5,-51,-50.8,-48.8,-48.5,-43.6,-35.2,-18.1,3,-21.5
-50,-52,-52,-51,-51,-49.3,-47.7,-44.6,-37.1,-24,-25,-30
-52,-52,-51.5,-51,-50,-49,-48,-45,-40.3,-38.3,-33.3,-36
